CODE,TEXT,CATEGORY
c000685,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000686,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000687,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000688,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000689,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000690,Pagdadala ng armas sa loob ng paaralan.,grave
c000691,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000692,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000693,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000694,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000695,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000696,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000697,Pagdadala ng armas sa loob ng paaralan.,grave
c000698,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000699,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000700,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000701,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000702,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000703,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000704,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000705,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000706,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000707,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000708,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000709,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000710,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000711,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000712,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000713,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000714,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000715,Pagdadala ng armas sa loob ng paaralan.,grave
c000716,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000717,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000718,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000719,Pananakit sa guro o miyembro ng staff.,grave
c000720,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000721,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000722,Pagdadala ng armas sa loob ng paaralan.,grave
c000723,Pananakit sa guro o miyembro ng staff.,grave
c000724,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000725,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000726,Pagdadala ng armas sa loob ng paaralan.,grave
c000727,Pagka-late sa pagdalo sa morning assembly.,minor
c000728,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000729,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000730,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000731,Pagdadala ng armas sa loob ng paaralan.,grave
c000732,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000733,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000734,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000735,Pananakit sa guro o miyembro ng staff.,grave
c000736,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000737,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000738,Pananakit sa guro o miyembro ng staff.,grave
c000739,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000740,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000741,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000742,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000743,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000744,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000745,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000746,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000747,Pagdadala ng armas sa loob ng paaralan.,grave
c000748,Pagdadala ng armas sa loob ng paaralan.,grave
c000749,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000750,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000751,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000752,Pagka-late sa pagdalo sa morning assembly.,minor
c000753,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000754,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000755,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000756,Pagka-late sa pagdalo sa morning assembly.,minor
c000757,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000758,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000759,Pagdadala ng armas sa loob ng paaralan.,grave
c000760,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000761,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000762,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000763,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000764,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000765,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000766,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000767,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000768,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000769,Pagdadala ng armas sa loob ng paaralan.,grave
c000770,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000771,Pagdadala ng armas sa loob ng paaralan.,grave
c000772,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000773,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000774,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000775,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000776,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000777,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000778,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000779,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000780,Pagka-late sa pagdalo sa morning assembly.,minor
c000781,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000782,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000783,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000784,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000785,Pagka-late sa pagdalo sa morning assembly.,minor
c000786,Pagka-late sa pagdalo sa morning assembly.,minor
c000787,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000788,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000789,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000790,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000791,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000792,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000793,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000794,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000795,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000796,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000797,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000798,Pagka-late sa pagdalo sa morning assembly.,minor
c000799,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000800,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000801,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000802,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000803,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000804,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000805,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000806,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000807,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000808,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000809,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000810,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000811,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000812,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000813,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000814,Pananakit sa guro o miyembro ng staff.,grave
c000815,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000816,Pagdadala ng armas sa loob ng paaralan.,grave
c000817,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000818,Pagka-late sa pagdalo sa morning assembly.,minor
c000819,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000820,Pananakit sa guro o miyembro ng staff.,grave
c000821,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000822,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000823,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000824,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000825,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000826,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000827,Pananakit sa guro o miyembro ng staff.,grave
c000828,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000829,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000830,Pananakit sa guro o miyembro ng staff.,grave
c000831,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000832,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000833,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000834,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000835,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000836,Pagdadala ng armas sa loob ng paaralan.,grave
c000837,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000838,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000839,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000840,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000841,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000842,Pagka-late sa pagdalo sa morning assembly.,minor
c000843,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000844,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000845,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000846,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000847,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000848,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000849,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000850,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000851,Pagdadala ng armas sa loob ng paaralan.,grave
c000852,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000853,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000854,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000855,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000856,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000857,Pananakit sa guro o miyembro ng staff.,grave
c000858,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000859,Pagdadala ng armas sa loob ng paaralan.,grave
c000860,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000861,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000862,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000863,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000864,Pagka-late sa pagdalo sa morning assembly.,minor
c000865,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000866,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000867,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000868,Pananakit sa guro o miyembro ng staff.,grave
c000869,Pananakit sa guro o miyembro ng staff.,grave
c000870,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000871,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000872,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000873,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000874,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000875,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000876,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000877,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000878,Pagka-late sa pagdalo sa morning assembly.,minor
c000879,Pagka-late sa pagdalo sa morning assembly.,minor
c000880,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000881,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000882,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000883,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000884,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000885,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000886,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000887,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000888,Pagdadala ng armas sa loob ng paaralan.,grave
c000889,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000890,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000891,Pagdadala ng armas sa loob ng paaralan.,grave
c000892,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000893,Pagdadala ng armas sa loob ng paaralan.,grave
c000894,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000895,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000896,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000897,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000898,Pagka-late sa pagdalo sa morning assembly.,minor
c000899,Pagka-late sa pagdalo sa morning assembly.,minor
c000900,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000901,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000902,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000903,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000904,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000905,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000906,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000907,Pagka-late sa pagdalo sa morning assembly.,minor
c000908,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000909,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000910,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000911,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000912,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000913,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000914,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000915,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000916,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000917,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000918,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000919,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000920,Pananakit sa guro o miyembro ng staff.,grave
c000921,Pananakit sa guro o miyembro ng staff.,grave
c000922,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000923,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000924,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000925,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000926,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000927,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000928,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000929,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000930,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000931,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000932,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000933,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000934,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000935,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000936,Pananakit sa guro o miyembro ng staff.,grave
c000937,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000938,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000939,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000940,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000941,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000942,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000943,Pagdadala ng armas sa loob ng paaralan.,grave
c000944,Pananakit sa guro o miyembro ng staff.,grave
c000945,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000946,Pagka-late sa pagdalo sa morning assembly.,minor
c000947,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000948,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000949,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000950,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000951,Pananakit sa guro o miyembro ng staff.,grave
c000952,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000953,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000954,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000955,Pagka-late sa pagdalo sa morning assembly.,minor
c000956,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000957,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000958,Pananakit sa guro o miyembro ng staff.,grave
c000959,Pagdadala ng armas sa loob ng paaralan.,grave
c000960,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000961,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000962,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000963,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000964,Pananakit sa guro o miyembro ng staff.,grave
c000965,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000966,Pagdadala ng armas sa loob ng paaralan.,grave
c000967,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000968,Pagka-late sa pagdalo sa morning assembly.,minor
c000969,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000970,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000971,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000972,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000973,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000974,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000975,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000976,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000977,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000978,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000979,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000980,Pagka-late sa pagdalo sa morning assembly.,minor
c000981,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000982,Pagka-late sa pagdalo sa morning assembly.,minor
c000983,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000984,Pagdadala ng armas sa loob ng paaralan.,grave
c000985,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000986,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000987,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000988,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000989,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000990,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000991,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000992,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000993,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000994,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000995,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000996,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000997,Pananakit sa guro o miyembro ng staff.,grave
c000998,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000999,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c001000,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
